FacilityName|FacilityNPI|FacilityType|FacilityMedicaidLicenseID1|FacilityMedicaidLicenseState1|FacilityMedicaidLicenseEffectiveDate1|FacilityMedicaidLicenseTerminationDate1|FacilityStateLicenseID1|FacilityStateLicenseState1|FacilityStateLicenseType1|FacilityStateLicenseEffectiveDate1|FacilityStateLicenseTerminationDate1|FacilityBoardCerficationID1|FacilityBoardCertificationType1|FacilityBoardCertificationEffectiveDate1|FacilityBoardCertificationTerminationDate1|FacilityMemberAssignment|BusinessName|BillingTIN|BillingAddress1|BillingAddress2|BillingCity|BillingState|BillingZip|BillingMailingAddress1|BillingMailingAddress2|BillingMailingCity|BillingMailingState|BillingMailingZip|BillingPhoneNumber|BillingFaxNumber|LocationName|FLCategory|LocationType|FacilitySubpartNPI|FLHoursOpenMon|FLHoursCloseMon|FLHoursOpenTues|FLHoursCloseTues|FLHoursOpenWed|FLHoursCloseWed|FLHoursOpenThurs|FLHoursCloseThurs|FLHoursOpenFri|FLHoursCloseFri|FLHoursOpenSat|FLHoursCloseSat|FLHoursOpenSun|FLHoursCloseSun|FLShowInDirectory|FLLanguage1|FLLanguage2|FLLanguage3|FLLanguage4|FLPrimarySpecialty|FLStateReportingProviderTypePrimary|FLStateReportingProviderSpecialtyPrimary|FLAdditionalSpecialty1|FLStateReportingProviderType1|FLStateReportingProviderSpecialty1|FLAdditionalSpecialty2|FLStateReportingProviderType2|FLStateReportingProviderSpecialty2|FLAdditionalSpecialty3|FLStateReportingProviderType3|FLStateReportingProviderSpecialty3|FLAdditionalSpecialty4|FLStateReportingProviderType4|FLStateReportingProviderSpecialty4|FLAdditionalSpecialty5|FLStateReportingProviderType5|FLStateReportingProviderSpecialty5|FLAdditionalSpecialty6|FLStateReportingProviderType6|FLStateReportingProviderSpecialty6|FLAdditionalSpecialty7|FLStateReportingProviderType7|FLStateReportingProviderSpecialty7|FLAdditionalSpecialty8|FLStateReportingProviderType8|FLStateReportingProviderSpecialty8|FLAdditionalSpecialty9|FLStateReportingProviderType9|FLStateReportingProviderSpecialty9|LocationAcceptsNewPatients|FLMinimumPatientAge|FLMaximumPatientAge|FLEHRUsed|FLHandicapAccessible|FLWheelchairAccessibleExamRoom|FLTerminationDate|FLTerminationReason|LocationAddress1|LocationAddress2|LocationCity|LocationState|LocationZip|PrimaryLocation|FLMailingAddress1|FLMailingAddress2|FLMailingCity|FLMailingState|FLMailingZip|LocationPhone|LocationFax|FLWebsiteURL|FLCCNetworkName|FLCCSubnetworkName|FLCCAffiliationID|FLCCContractID|FLCCReimbursementRate|FLCCAssignmentEffectiveDate|FLCCAssignmentTerminationDate|FirstName|MiddleName|LastName|Suffix|ProviderNPI|Gender|DateofBirth|SSN|ProviderLanguage1|ProviderLanguage2|ProviderLanguage3|ProviderLanguage4|ProviderPhoneNumber|ProviderFaxNumber|ProviderEmail|ProviderCredentialCode|PCP|ProviderPrimarySpecialtyCode|ProviderAdditionalSpecialty1|ProviderAdditionalSpecialty2|ProviderAdditionalSpecialty3|ProviderEngagementPriority|ApplicationCompleteDate|CredentialingApprovedDate|ProviderMedicaidLicenseID1|ProviderMedicaidLicenseState1|ProviderMedicaidLicenseEffectiveDate1|ProviderMedicaidLicenseTerminationDate1|ProviderStateLicenseID1|ProviderStateLicenseState1|ProviderStateLicenseType1|ProviderStateLicenseEffectiveDate1|ProviderStateLicenseTerminationDate1|ProviderBoardCerficationID1|ProviderBoardCertificationType1|ProviderBoardCertificationEffectiveDate1|ProviderBoardCertificationTerminationDate1|PLCategory|PLPrimarySpecialty|PLStateReportingProviderTypePrimary|PLStateReportingProviderSpecialtyPrimary|PLAdditionalSpecialty1|PLStateReportingProviderType1|PLStateReportingProviderSpecialty1|PLAdditionalSpecialty2|PLStateReportingProviderType2|PLStateReportingProviderSpecialty2|PLAdditionalSpecialty3|PLStateReportingProviderType3|PLStateReportingProviderSpecialty3|PLAdditionalSpecialty4|PLStateReportingProviderType4|PLStateReportingProviderSpecialty4|PLAdditionalSpecialty5|PLStateReportingProviderType5|PLStateReportingProviderSpecialty5|PLAdditionalSpecialty6|PLStateReportingProviderType6|PLStateReportingProviderSpecialty6|PLAdditionalSpecialty7|PLStateReportingProviderType7|PLStateReportingProviderSpecialty7|PLAdditionalSpecialty8|PLStateReportingProviderType8|PLStateReportingProviderSpecialty8|PLAdditionalSpecialty9|PLStateReportingProviderType9|PLStateReportingProviderSpecialty9|ProviderIsPCPLocation|PLAcceptsNewPatients|PLMinimumPatientAge|PLMaximumPatientAge|PLHoursOpenMon|PLHoursCloseMon|PLHoursOpenTues|PLHoursCloseTues|PLHoursOpenWed|PLHoursCloseWed|PLHoursOpenThurs|PLHoursCloseThurs|PLHoursOpenFri|PLHoursCloseFri|PLHoursOpenSat|PLHoursCloseSat|PLHoursOpenSun|PLHoursCloseSun|PLShowInDirectory|PLTerminationDate|PLTerminationReason|PLPhoneNumber|PLFaxNumber|PLAddress1|PLAddress2|PLCity|PLState|PLZip|ProviderPrimaryLocation|PLMailingAddress1|PLMailingAddress2|PLMailingCity|PLMailingState|PLMailingZip|PhysHospRelNPI1|PhysHospRelEffectiveDate1|PhysHospRelTerminationDate1|PhysHospRelType1|PhysHospRelNPI2|PhysHospRelEffectiveDate2|PhysHospRelTerminationDate2|PhysHospRelType2|PhysHospRelNPI3|PhysHospRelEffectiveDate3|PhysHospRelTerminationDate3|PhysHospRelType3|PhysHospRelNPI4|PhysHospRelEffectiveDate4|PhysHospRelTerminationDate4|PhysHospRelType4|PhysHospRelNPI5|PhysHospRelEffectiveDate5|PhysHospRelTerminationDate5|PhysHospRelType5|PLCCNetworkName|PLCCSubnetworkName|PLCCAffiliationID|PLCCContractID|PLCCReimbursementRate|PLCCAssignmentEffectiveDate|PLCCAssignmentTerminationDate
Test 9999900001|9999900001|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0001|99999_Scenario_0001|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900002|9999900002|Practice|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|FLA0002|99999_Scenario_0002|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900003|9999900003|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID 1|MEDICAID|FLA0003|99999_Scenario_0003|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900004|9999900004|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID||FLA0004|99999_Scenario_0004|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900005|9999900005|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID 1|FLA0005|99999_Scenario_0005|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900006|9999900006|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID||99999_Scenario_0006|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900007|9999900007|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0007||70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900008|9999900008|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0008|99999_Scenario_0008||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900009|9999900009|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0009|99999_Scenario_0009|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900009|9999900009|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0009|99999_Scenario_0009|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900010|9999900010|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0010|99999_Scenario_0010|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900010|9999900010|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Medicare DST|MEDICAID|FLA0010|99999_Scenario_0010|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900011|9999900011|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0011|99999_Scenario_0011|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900011|9999900011|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|Medicare DST|FLA0011|99999_Scenario_0011|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900012|9999900012|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0012|99999_Scenario_0012|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900012|9999900012|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||Medicare DST|Medicare DST|FLA0012|99999_Scenario_0012|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900013|9999900013|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0013|99999_Scenario_0013_1|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900013|9999900013|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0013|99999_Scenario_0013_2|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900014|9999900014|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0014_1|99999_Scenario_0014|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900014|9999900014|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0014_2|99999_Scenario_0014|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Test 9999900015|9999900015|Practice||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||MEDICAID|MEDICAID|FLA0015|99999_Scenario_0015|70%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
